,name,best,last,optim,lr,gamma
29,20230406-003346,85.8,85.37,Adam,0.01,0.8
28,20230406-025329,87.66,87.48,Adam,0.005,0.8
0,20230411-164707,92.81,92.66,Adam,0.001,0.8
27,20230406-051511,94.23,93.99,Adam,0.0005,0.8
26,20230406-073624,93.65,93.48,Adam,0.0001,0.8
25,20230406-095752,92.42,91.91,pbAdam,0.01,0.2
20,20230409-161152,93.36,93.17,pbAdam,0.01,0.5
15,20230410-031713,89.88,89.69,pbAdam,0.01,0.8
10,20230410-142542,65.86,65.37,pbAdam,0.01,1.5
5,20230411-014332,10.0,10.0,pbAdam,0.01,2.5
24,20230406-123414,93.14,93.03,pbAdam,0.005,0.2
19,20230409-182746,93.95,93.8,pbAdam,0.005,0.5
14,20230410-053027,91.38,91.13,pbAdam,0.005,0.8
9,20230410-164318,65.68,65.39,pbAdam,0.005,1.5
4,20230411-035747,10.0,10.0,pbAdam,0.005,2.5
23,20230406-151100,93.83,93.73,pbAdam,0.001,0.2
18,20230409-203853,94.16,94.04,pbAdam,0.001,0.5
13,20230410-074355,94.09,93.91,pbAdam,0.001,0.8
8,20230410-185944,87.03,86.81,pbAdam,0.001,1.5
3,20230411-061223,10.0,10.0,pbAdam,0.001,2.5
22,20230406-175026,94.22,94.11,pbAdam,0.0005,0.2
17,20230409-225059,94.53,94.38,pbAdam,0.0005,0.5
12,20230410-095649,94.61,94.47,pbAdam,0.0005,0.8
7,20230410-211451,91.26,91.06,pbAdam,0.0005,1.5
2,20230411-082529,10.0,10.0,pbAdam,0.0005,2.5
21,20230409-135827,93.3,93.12,pbAdam,0.0001,0.2
16,20230410-010326,93.23,93.12,pbAdam,0.0001,0.5
11,20230410-121212,93.74,93.57,pbAdam,0.0001,0.8
6,20230410-232831,93.45,93.37,pbAdam,0.0001,1.5
1,20230411-104930,10.0,10.0,pbAdam,0.0001,2.5
